file_path,symbol,line,classification,confidence,evidence,recommended_action
src/components/LoadingState.tsx,LoadingSpinner,22,SAFE_TO_REMOVE,High,"No imports found outside this file; app uses `src/app/components/ui/LoadingSpinner` instead (see src/app/components/ui/LoadingSpinner.tsx and src/app/components/ui/index.ts).","Keep or remove this duplicate definition after manual review; safe to remove." 
src/hooks/useCurrentUserRole.ts,useCurrentUserRole,18,SAFE_TO_REMOVE,High,"No imports found outside defining file (only definition present).","Candidate for removal; developer review then remove if unused." 
src/lib/realtime.ts,useRealtimeSubscription,252,LIKELY_UNUSED,Medium,"Defined in lib/realtime.ts; grep shows only comments and internal references inside the same file; no external imports found.","Review usages for dynamic import patterns; if truly unused, remove after review." 
src/lib/realtime.ts,useInventoryRealtime,269,LIKELY_UNUSED,Medium,"Defined in lib/realtime.ts; no external imports found. Potential runtime usage via dynamic import not observed.","Developer review; preserve until confirmed." 
src/lib/realtime.ts,useNotificationsRealtime,285,LIKELY_UNUSED,Medium,"Defined in lib/realtime.ts; no external imports found.","Developer review before removal." 
src/lib/realtime.ts,realtimeManager,237,POSSIBLE_DYNAMIC_USAGE,Medium,"Exported and referenced internally; no external imports detected. Might be referenced via dynamic runtime code or global wiring.","Requires review — do not remove yet." 
src/hooks/useRealTimeData.ts,useRealTimeData,13,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Hook has local uses (internal returns) and multiple internal callers; grep shows other hooks and consumers referencing similar names.","Leave as-is." 
src/hooks/useRealTimeData.ts,useDashboardAnalytics,57,FALSE_POSITIVE / INTENTIONAL_EXPORT,High,"Also exported in src/hooks/useSupabaseQuery.ts and consumed in ExecutiveDashboard; imports found.","Leave as-is." 
src/hooks/useRealTimeData.ts,useFinancialSummary,73,REQUIRES_REVIEW,Low,"Defined here; minimal direct external usages found; may be duplicated in useSupabaseQuery. Conflicting exports across files.","Manual review: consolidate implementations if duplicate." 
src/hooks/useRealTimeData.ts,useInventory,89,REQUIRES_REVIEW,Medium,"Also exported from useSupabaseQuery.ts and imported in InventoryPageNew; confirm which implementation is canonical.","Consolidate or alias; do not remove yet." 
src/hooks/useRealTimeData.ts,useLowStockItems,105,REQUIRES_REVIEW,Low,"No external imports found besides comment references; potential duplication.","Review." 
src/hooks/useRealTimeData.ts,useInvoices,121,REQUIRES_REVIEW,Medium,"useSupabaseQuery also exports useInvoices; ExecutiveDashboard imports useInvoices from useSupabaseQuery. Confirm duplication.","Review and consolidate." 
src/hooks/useRealTimeData.ts,useSalesOrders,137,REQUIRES_REVIEW,Low,"No external imports observed." ,"Review." 
